OBJECTID,Neighbourhood,Hood_ID,F2020_Population_Projection,Assault_2014,Assault_2015,Assault_2016,Assault_2017,Assault_2018,Assault_2019,Assault_2020,Assault_Rate2014,Assault_Rate2015,Assault_Rate2016,Assault_Rate2017,Assault_Rate2018,Assault_Rate2019,Assault_Rate2020,AutoTheft_2014,AutoTheft_2015,AutoTheft_2016,AutoTheft_2017,AutoTheft_2018,AutoTheft_2019,AutoTheft_2020,AutoTheft_Rate2014,AutoTheft_Rate2015,AutoTheft_Rate2016,AutoTheft_Rate2017,AutoTheft_Rate2018,AutoTheft_Rate2019,AutoTheft_Rate2020,BreakAndEnter_2014,BreakAndEnter_2015,BreakAndEnter_2016,BreakAndEnter_2017,BreakAndEnter_2018,BreakAndEnter_2019,BreakAndEnter_2020,BreakAndEnter_Rate2014,BreakAndEnter_Rate2015,BreakAndEnter_Rate2016,BreakAndEnter_Rate2017,BreakAndEnter_Rate2018,BreakAndEnter_Rate2019,BreakAndEnter_Rate2020,Robbery_2014,Robbery_2015,Robbery_2016,Robbery_2017,Robbery_2018,Robbery_2019,Robbery_2020,Robbery_Rate2014,RobberyRate_2015,Robbery_Rate2016,Robbery_Rate2017,Robbery_Rate2018,Robbery_Rate2019,Robbery_Rate2020,TheftOver_2014,TheftOver_2015,TheftOver_2016,TheftOver_2017,TheftOver_2018,TheftOver_2019,TheftOver_2020,TheftOver_Rate2014,TheftOver_Rate2015,TheftOver_Rate2016,TheftOver_Rate2017,TheftOver_Rate2018,TheftOver_Rate2019,TheftOver_Rate2020,Homicide_2014,Homicide_2015,Homicide_2016,Homicide_2017,Homicide_2018,Homicide_2019,Homicide_2020,Homicide_Rate2014,Homicide_Rate2015,Homicide_Rate2016,Homicide_Rate2017,Homicide_Rate2018,Homicide_Rate2019,Homicide_Rate2020,Shootings_2014,Shootings_2015,Shootings_2016,Shootings_2017,Shootings_2018,Shootings_2019,Shootings_2020,Shooting_Rate2014,Shootings_Rate2015,Shootings_Rate2016,Shootings_Rate2017,Shootings_Rate2018,Shootings_Rate2019,Shootings_Rate2020,Shape__Area,Shape__Length
1,Yonge-St.Clair,097,14083,16,25,34,25,28,35,23,127.0144,196.1246,262.5482,189.179,207.2846,253.8071,163.3175,2,3,7,2,6,6,9,15.8768,23.53495,54.05405,15.13432,44.41812,43.50979,63.90684,37,20,12,18,24,28,26,293.7207,156.8997,92.66409,136.2088,177.6725,203.0457,184.6198,4,1,6,1,1,4,5,31.75359,7.844983,46.33205,7.567159,7.40302,29.00653,35.5038,3,5,7,0,3,6,3,23.81519,39.22491,54.05405,0,22.20906,43.50979,21.30228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.7722008,0,0,0,0,1161314.75244141,5873.27050652613
2,York University Heights,027,30277,273,298,363,351,362,382,341,950.5571,1041.485,1269.32,1211.097,1230.33,1279.861,1126.267,106,100,106,89,91,147,184,369.0808,349.4915,370.6553,307.0872,309.2819,492.5118,607.722,108,140,98,105,122,111,105,376.0446,489.2881,342.6813,362.2938,414.6416,371.8967,346.7979,58,85,70,76,94,84,47,201.9499,297.0678,244.7724,262.2317,319.478,281.4353,155.2334,30,46,38,40,38,31,43,104.4568,160.7661,132.8764,138.0167,129.1507,103.863,142.022,1,0,2,0,1,0,1,0.348189415041783,0,0.6993496,0,0,0,0.3302837,2,0,4,10,8,6,12,0.6963788,0,1.398699,3.450418,2.718961,2.010252,3.963405,13246655.9714355,18504.7776156274
3,Lansing-Westgate,038,18146,42,81,67,84,68,70,97,261.0966,494.6263,400.6698,492.5531,390.1543,393.5901,534.553,17,22,26,26,16,30,44,105.682,134.3429,155.4838,152.4569,91.80102,168.6815,242.4777,34,27,41,42,50,39,39,211.3639,164.8754,245.186,246.2765,286.8782,219.2859,214.9234,12,6,6,14,32,12,11,74.59903,36.63898,35.88087,82.09218,183.602,67.47259,60.61942,4,5,5,11,6,10,9,24.86634,30.53249,29.90073,64.501,34.42538,56.22716,49.59771,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,1,0,0,0.5980146,0,0.5737564,1.124543,0.5510857,5346185.87353516,11112.1094187908
4,Yorkdale-Glen Park,031,17560,106,137,175,163,178,210,156,697.5061,902.0279,1149.199,1031.841,1086.558,1237.405,888.3827,63,53,41,54,64,64,87,414.5555,348.9597,269.2409,341.8371,390.6727,377.1139,495.4442,51,57,66,62,67,90,81,335.5926,375.2963,433.4121,392.4796,408.9855,530.3164,461.2756,23,21,24,34,47,42,40,151.3457,138.2671,157.6044,215.2307,286.9003,247.481,227.7904,23,15,26,23,20,30,18,151.3457,98.76218,170.7381,145.5973,122.0852,176.7721,102.5057,1,1,1,1,2,1,1,0.658024610120418,0.6584145,0.6566851,0.6330316,0.6104261,0.5892405,0.5694761,3,3,3,7,10,17,14,1.974074,1.975244,1.970055,4.431221,6.104261,10.01709,7.972665,6038325.94311523,10079.4268374564
5,Stonegate-Queensway,016,27410,91,74,78,98,86,83,104,354.9696,288.1732,302.5249,374.5318,323.2961,307.3277,379.4236,37,32,14,33,31,35,45,144.3283,124.6154,54.29934,126.1179,116.537,129.596,164.1737,70,45,49,50,39,64,35,273.0535,175.2405,190.0477,191.0877,146.611,236.9756,127.6906,17,10,13,25,26,24,20,66.313,38.94233,50.42082,95.54384,97.74068,88.86585,72.96607,8,8,4,6,8,4,5,31.20612,31.15386,15.5141,22.93052,30.07406,14.81098,18.24152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,1,1,1,0,1.170229,0.7788465,0,0.3821754,0.3759257,0.3702744,0,7946201.71362305,11853.1898033065
6,Tam O'Shanter-Sullivan,118,29970,103,88,100,120,131,108,131,364.7955,312.256,354.1829,418.8336,450.2802,365.6431,437.1038,22,19,21,16,30,24,37,77.91748,67.41892,74.37841,55.84447,103.1176,81.25402,123.4568,49,68,62,54,77,67,54,173.5435,241.2888,219.5934,188.4751,264.6685,226.8341,180.1802,27,37,24,27,17,31,18,95.626,131.2895,85.0039,94.23755,58.4333,104.9531,60.06006,4,7,8,8,3,3,2,14.16681,24.83855,28.33463,27.92224,10.31176,10.15675,6.67334,0,1,0,0,1,2,1,0,0.3548364,0,0,0.6874506,0.6771168,0.333667,0,3,2,2,4,2,2,0,1.064509,0.7083658,0.6980559,1.374901,0.6771168,0.667334,5422344.64331055,10750.4682895881
7,The Beaches,063,23364,88,106,81,114,99,82,84,399.2922,479.9203,364.717,506.5991,434.3629,355.1628,359.5275,8,23,7,11,29,21,23,36.29929,104.1337,31.51875,48.88237,127.2376,90.95634,98.44205,45,42,77,34,43,58,66,204.1835,190.1571,346.7063,151.091,188.6627,251.2128,282.4859,18,12,19,48,13,17,6,81.6734,54.3306,85.5509,213.3049,57.03756,73.63132,25.68053,8,5,3,8,6,9,10,36.29929,22.63775,13.50804,35.55082,26.32503,38.98129,42.80089,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0.8662509,0,3595829.08642578,11275.1812840093
8,Thistletown-Beaumond Heights,003,10948,61,56,46,56,53,75,56,576.4506,527.2077,430.873,521.3667,490.1961,688.642,511.5089,10,14,15,22,44,51,43,94.50009,131.8019,140.5021,204.8226,406.9552,468.2766,392.7658,22,23,23,17,16,14,10,207.9002,216.5317,215.4365,158.272,147.9837,128.5465,91.34088,19,23,15,23,11,10,9,179.5502,216.5317,140.5021,214.1328,101.7388,91.81893,82.20679,1,3,1,4,2,3,5,9.450009,28.24327,9.366804,37.24048,18.49796,27.54568,45.67044,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,2,2,1,3,1,0,0.9414423,1.873361,1.862024,0.9248983,2.754568,0.9134088,3339481.015625,10828.4442694002
9,Thorncliffe Park,055,23518,86,104,88,98,94,119,94,409.5238,486.3904,403.4846,441.4812,415.1943,516.0898,399.6938,12,11,4,9,12,15,20,57.14286,51.44514,18.34021,40.54419,53.00353,65.05334,85.04124,34,27,24,19,24,28,41,161.9048,126.2744,110.0413,85.5933,106.0071,121.4329,174.3345,16,7,15,9,4,13,5,76.19048,32.73782,68.77579,40.54419,17.66784,56.37957,21.26031,9,6,11,9,4,5,3,42.85714,28.06099,50.43558,40.54419,17.66784,21.68445,12.75619,3,2,1,4,0,0,2,1.42857142857143,0.9353662,0.4585053,1.801964,0,0,0.8504124,1,2,1,2,3,8,9,0.4761905,0.9353662,0.4585053,0.9009821,1.325088,3.469512,3.826856,3126553.82421875,7502.70932015893
10,Danforth East York,059,18427,68,55,41,78,79,85,56,387.9286,312.2516,231.4031,436.0221,436.8503,465.5493,303.9019,6,8,12,9,13,9,16,34.22899,45.41842,67.72774,50.31025,71.88675,49.29346,86.82911,31,24,42,25,18,24,33,176.8498,136.2552,237.0471,139.7507,99.5355,131.4492,179.085,2,7,4,8,10,8,9,11.40966,39.74112,22.57591,44.72022,55.2975,43.81641,48.84137,1,3,4,0,3,8,5,5.704832,17.03191,22.57591,0,16.58925,43.81641,27.1341,0,0,0,0,0,0,1,0,0,0,0,0,0,0.5426819,0,0,0,2,0,1,0,0,0,0,1.118006,0,0.5477051,0,2188597.65380859,7623.8578029557
